product_id,sub_category
854,Blush
855,Hair Oil
856,Face Sunscreen
858,Pore Refiner Cream
859,Hair Serum
860,Shampoo
861,Bronzer
863,Shower Gel
864,Lip Gloss
865,BB Cream
866,Body Lotion
867,Body Wash
870,Mascara
872,Body Lotion
876,Body Lotion
878,Eyeshadow Palette
879,Massage Oil
880,Face Sunscreen
883,Deodorant
884,Eau De Parfum
885,Trimmer
887,Shower Gel
889,Body Sunscreen
893,Eau De Toilette
895,Body Wash
896,Face Scrub
898,Mascara
899,Highlighter
900,Eau De Parfum
902,Mascara
903,Beard Colour Cream
904,Body Scrub
906,Eau De Parfum
908,Eye Shadow
909,Face Moisturiser
911,Cleanser
912,Cologne
913,Mascara
917,Nail Polish
918,Eau De Toilette
921,Liquid Lipstick
922,Body Lotion
923,Hair Serum
926,Body Scrub
927,Hair Serum
928,Hair Serum
929,Body Scrub
932,Makeup Brush
934,"Face Wash, Face Scrub, Peel-Off Mask & Face Cream"
936,Lip Balm
937,Hair Serum
939,Nail Polish
940,Eyeshadow Palette
941,Toner
942,Cream
943,Deodorant
944,Face Mask
945,Nail Polish
947,Mascara
948,Scrubs & Exfoliators
949,Hair Serum
950,Beard Oil
953,Conditioner
955,Shampoo
956,Eau De Parfum
957,Hair Serum
959,Lip Gloss
960,Body Lotion
961,Perfume
962,Eyeliner
964,Nail Polish Remover
965,Face Moisturiser
967,Lip Tint
970,Conditioner
972,Face Mask
974,Skin Cleanser
976,Shower Gel
978,Eau De Toilette
979,Eyeshadow Palette
982,Eau De Toilette
984,Lipstick
986,Face Moisturizer
989,Blush
990,Face Wash
991,Loose Powder
993,Lip Liner
996,Concealer
997,Makeup Brush
998,Eyeshadow Palette
999,Lip Tint
1000,Eau De Parfum
1004,Sheet Mask
1006,Blush Highlighter
1008,Lip Balm
1009,Foot Mask
1010,Body Wash
1011,Highlighter
1013,Face Moisturizer
1017,Facial Cream
1019,Hair Oil
1022,Body Lotion
1023,Nail Polish
1025,Blush
1026,Hair Oil
1028,Cleanser
1029,Kajal
1030,Body Wash
1033,Body Wash
1034,Lipstick
1035,Face Mask
1040,Lipstick
1041,Stick Mask
1042,Shampoo
1044,Face Sunscreen
1045,Facial Cream
1046,Hair Serum
1048,Nail Polish
1050,Kohl Pencil
1051,Eau De Toilette
1052,Sheet Mask
1053,Hair Serum
1054,Toner
1058,Liquid Lipstick
1060,Hair Oil
1062,Liquid Lipstick
1066,Toner
