product_id,brand
909,Cetaphil
911,Laneige
912,Tabac
913,Sheglam
914,Laneige
916,Sheglam
917,Nails Our Way
918,Guy Laroche
921,Huda Beauty
922,Vaseline
923,Biolage
926,Kimirica
927,L'OREAL PROFESSIONNEL
928,Giovanni
929,mCaffeine
932,Real Techniques
934,The Man Company
936,Swiss Beauty
937,Streax Professional
939,Nails Our Way
940,Rom&nd
941,Laneige
942,Bioderma
943,s.Oliver
944,Foxtale
945,Nails Our Way
947,FENTY BEAUTY
948,ClayCo.
949,SP
950,Beardo
955,Pilgrim
956,Ajmal
957,3TENX
959,FENTY BEAUTY
960,Cetaphil
961,Prada
962,KIKO Milano
964,Colorbar
965,Laneige
967,Sheglam
970,Fix My Curls
972,Klairs
974,Cetaphil
976,Bioderma
978,David Beckham
979,PAC
982,Calvin Klein
984,PAC
986,Natio
988,KIKO Milano
989,Huda Beauty
990,CLINIQUE
991,Maybelline New York
993,PAC
995,Huda Beauty
996,Insight Cosmetics
997,Real Techniques
998,PAC
1000,Gucci
1003,Treaclemoon
1004,ETUDE HOUSE
1005,RENEE
1006,Bobbi Brown
1007,Treaclemoon
1008,Laneige
1009,Innisfree
1010,Sebamed
1011,Insight Cosmetics
1013,Embryolisse
1015,Giorgio Armani
1017,Nuse
1019,Brillare
1021,bareMinerals
1022,L'occitane
1023,Nails Our Way
1025,M.A.C
1026,Pilgrim
1028,Cetaphil
1029,Maybelline New York
1030,Dove
1033,Be Bodywise
1034,M.A.C
1035,ClayCo.
1040,M.A.C
1041,SKIN1004
1042,Pilgrim
1044,Aqualogica
1045,Nuse
1047,Sheglam
1048,Lakme
1050,RENEE
1051,EDW Essenza
1052,SKIN1004
1053,Tresemme
1054,COSRX
1058,Lakme
1060,Max Care
1062,KIRO
1066,Akind
1067,Beardo
1068,Rom&nd
1069,Ramsons
1071,Bioderma
1073,Schwarzkopf Professional
1074,Gucci
1075,Calvin Klein
1076,Milk Shake
1077,Park Avenue
1078,Soulflower
1079,Huda Beauty
1080,Maybelline New York
1082,Cetaphil
1083,Simply Nam
1084,Calvin Klein
1086,Dr. Sheth's
1087,Faces Canada
1088,Lador
1089,First Aid Beauty
1090,Fixderma
1091,Police
1092,Azzaro
1094,The Derma Co
1095,L'OREAL PROFESSIONNEL
1097,Foxtale
1098,Maison Margiela
1099,Dr. Sheth's
1101,Plum
1103,Benefit Cosmetics
1106,FENTY BEAUTY
1108,Kayali
1109,Plum
1110,Burberry
1112,Akind
1113,GK Hair
1114,Minimalist
1115,PAC
1116,Tulips
1119,Beauty of Joseon
1120,Dermalogica
1121,Huda Beauty
1122,L'Oreal Paris
1123,Clarins
1124,L'Oreal Paris
1125,Cacharel
1126,Akind
1130,Diesel
1133,SKIN1004
1135,Adidas
1136,Calvin Klein
1137,Beauty of Joseon
1139,Evaflor
1140,Re'equil
1142,Puraveda
1143,Faces Canada
1144,The Body Shop
1146,Re'equil
1147,mCaffeine
1148,Bombae
1149,Lakme
1150,Makeup Revolution
1152,WishCare
1153,Bronson Professional
1154,PAC
1159,Maybelline New York
1161,Sheglam
1162,SKIN COTTAGE
1163,Aqualogica
1164,mCaffeine
1166,Plum
1170,SKIN COTTAGE
1171,Jimmy Choo
1172,The Derma Co
1173,Bioderma
1175,Faces Canada
1176,Plum
1177,M.A.C
1179,Forest Essentials
1180,Bioderma
1181,FENTY BEAUTY
1182,SKIN1004
1183,Nails Our Way
1184,Plum
1185,K18
1186,WishCare
1187,Forest Essentials
1189,Sheglam
1191,Calvin Klein
1194,Giorgio Armani
1196,FENTY SKIN
1198,Ajmal
1200,Minimalist
1204,EDW Essenza
1205,Benefit Cosmetics
1206,Dermalogica
1207,Treaclemoon
1208,Faces Canada
1209,brwn. pro-melanin care
1211,Sheglam
1213,Yardley London
1214,Sheglam
1215,Ajmal
1217,L'Oreal Paris
1219,Maybelline New York
1220,Lakme
1223,Beauty of Joseon
1227,M.A.C
1228,Klairs
1229,Bioderma
1231,PAC
1234,Treaclemoon
1236,M.A.C
1238,RENEE
1240,Lakme
1241,The Ordinary
1242,Burberry
1243,RENEE
1244,Calvin Klein
1245,Akind
1247,Burberry
1248,Laneige
1249,Soulflower
1254,Akind
1256,FENTY SKIN
1257,M.A.C
1258,Prada
1261,Hugo Boss
1262,La Shield
1263,Faces Canada
1264,Benefit Cosmetics
1265,Fixderma
1266,Moroccanoil
1268,Bobbi Brown
1269,Daily Life Forever52
1271,Caudalie
1272,Calvin Klein
1273,Treaclemoon
1275,Rom&nd
1276,Cetaphil
1277,Aqualogica
1279,KIRO
1280,M.A.C
1281,Benefit Cosmetics
1282,Vaseline
1283,KIKO Milano
1285,Layer'r
1288,Swiss Beauty
1289,Police
1292,Nuse
1296,Nuse
1297,The Face Shop
1298,Plum
1302,Azzaro
1303,Nuse
1304,Huda Beauty
1306,Ajmal
1307,Re'equil
1308,Sheglam
1309,Schwarzkopf Professional
1311,Dove
1313,Ajmal
1315,Aqualogica
1316,Benefit Cosmetics
1317,PAC
1318,Swiss Beauty
1323,mCaffeine
1325,The Body Shop
1326,FENTY SKIN
1328,Beauty of Joseon
1329,Nuse
1333,Majestique
1334,FCL
1336,Adidas
1337,M.A.C
