,product_id,brand
582,837,Daily Life Forever52
583,838,The Sass Bar
584,839,Nivea
585,843,Laneige
586,846,Innisfree
587,847,Rom&nd
588,848,Nails Our Way
589,849,Beardo
590,850,PAC
591,851,bareMinerals
592,852,Insight Cosmetics
593,853,Miss Claire
594,854,Anastasia Beverly Hills
595,855,Forest Essentials
596,856,Aqualogica
597,858,Bioderma
598,859,Moroccanoil
599,860,Bioderma
600,861,PAC
601,863,Neutrogena
602,864,Huda Beauty
603,865,Faces Canada
604,866,Vaseline
605,867,Dove
606,870,Too Faced
607,872,Aveeno
608,876,Nivea
609,878,PAC
610,879,Forest Essentials
611,880,Axis-Y
612,883,Ajmal
613,884,Ajmal
614,885,Philips
615,887,Plum
616,889,Plum
617,893,Maison Margiela
618,895,mCaffeine
619,896,Laneige
620,898,L'Oreal Paris
621,899,Smashbox
622,900,Calvin Klein
623,901,Natio
624,902,Insight Cosmetics
625,903,Beardo
626,904,Plum
627,906,Burberry
628,908,Charmacy Milano
629,909,Cetaphil
630,911,Laneige
631,912,Tabac
632,913,Sheglam
633,914,Laneige
634,916,Sheglam
635,917,Nails Our Way
636,918,Guy Laroche
637,921,Huda Beauty
638,922,Vaseline
639,923,Biolage
640,926,Kimirica
641,927,L'OREAL PROFESSIONNEL
642,928,Giovanni
643,929,mCaffeine
644,932,Real Techniques
645,934,The Man Company
646,936,Swiss Beauty
647,937,Streax Professional
648,939,Nails Our Way
649,940,Rom&nd
650,941,Laneige
651,942,Bioderma
652,943,s.Oliver
653,944,Foxtale
654,945,Nails Our Way
655,947,FENTY BEAUTY
656,948,ClayCo.
657,949,SP
658,950,Beardo
660,955,Pilgrim
661,956,Ajmal
662,957,3TENX
663,959,FENTY BEAUTY
664,960,Cetaphil
665,961,Prada
666,962,KIKO Milano
667,964,Colorbar
668,965,Laneige
669,967,Sheglam
670,970,Fix My Curls
671,972,Klairs
672,974,Cetaphil
673,976,Bioderma
674,978,David Beckham
675,979,PAC
676,982,Calvin Klein
677,984,PAC
678,986,Natio
679,988,KIKO Milano
680,989,Huda Beauty
681,990,CLINIQUE
682,991,Maybelline New York
683,993,PAC
684,995,Huda Beauty
685,996,Insight Cosmetics
686,997,Real Techniques
687,998,PAC
689,1000,Gucci
690,1003,Treaclemoon
691,1004,ETUDE HOUSE
692,1005,RENEE
693,1006,Bobbi Brown
694,1007,Treaclemoon
695,1008,Laneige
696,1009,Innisfree
697,1010,Sebamed
698,1011,Insight Cosmetics
699,1013,Embryolisse
700,1015,Giorgio Armani
701,1017,Nuse
702,1019,Brillare
703,1021,bareMinerals
704,1022,L'occitane
705,1023,Nails Our Way
706,1025,M.A.C
707,1026,Pilgrim
708,1028,Cetaphil
709,1029,Maybelline New York
710,1030,Dove
711,1033,Be Bodywise
712,1034,M.A.C
713,1035,ClayCo.
714,1040,M.A.C
715,1041,SKIN1004
716,1042,Pilgrim
717,1044,Aqualogica
718,1045,Nuse
720,1047,Sheglam
721,1048,Lakme
722,1050,RENEE
723,1051,EDW Essenza
724,1052,SKIN1004
725,1053,Tresemme
726,1054,COSRX
727,1058,Lakme
728,1060,Max Care
729,1062,KIRO
730,1066,Akind
731,1067,Beardo
732,1068,Rom&nd
733,1069,Ramsons
734,1071,Bioderma
735,1073,Schwarzkopf Professional
736,1074,Gucci
737,1075,Calvin Klein
738,1076,Milk Shake
739,1077,Park Avenue
740,1078,Soulflower
741,1079,Huda Beauty
742,1080,Maybelline New York
744,1082,Cetaphil
745,1083,Simply Nam
746,1084,Calvin Klein
747,1086,Dr. Sheth's
748,1087,Faces Canada
749,1088,Lador
750,1089,First Aid Beauty
751,1090,Fixderma
752,1091,Police
753,1092,Azzaro
754,1094,The Derma Co
755,1095,L'OREAL PROFESSIONNEL
756,1097,Foxtale
757,1098,Maison Margiela
758,1099,Dr. Sheth's
759,1101,Plum
761,1103,Benefit Cosmetics
763,1106,FENTY BEAUTY
764,1108,Kayali
765,1109,Plum
766,1110,Burberry
767,1112,Akind
768,1113,GK Hair
769,1114,Minimalist
770,1115,PAC
771,1116,Tulips
773,1119,Beauty of Joseon
774,1120,Dermalogica
775,1121,Huda Beauty
776,1122,L'Oreal Paris
777,1123,Clarins
778,1124,L'Oreal Paris
779,1125,Cacharel
780,1126,Akind
781,1130,Diesel
782,1133,SKIN1004
783,1135,Adidas
784,1136,Calvin Klein
785,1137,Beauty of Joseon
786,1139,Evaflor
787,1140,Re'equil
788,1142,Puraveda
789,1143,Faces Canada
790,1144,The Body Shop
791,1146,Re'equil
792,1147,mCaffeine
793,1148,Bombae
794,1149,Lakme
795,1150,Makeup Revolution
796,1152,WishCare
797,1153,Bronson Professional
798,1154,PAC
799,1159,Maybelline New York
800,1161,Sheglam
801,1162,SKIN COTTAGE
802,1163,Aqualogica
803,1164,mCaffeine
804,1166,Plum
805,1170,SKIN COTTAGE
806,1171,Jimmy Choo
807,1172,The Derma Co
808,1173,Bioderma
809,1175,Faces Canada
810,1176,Plum
811,1177,M.A.C
