,product_id,sub_category
145,223,Hair Serum
146,225,Face Mask
147,226,Face Brush
148,227,Liquid Highlighter
149,229,Hair Serum
150,230,Face Mask
151,232,Face Scrub
152,233,Hand Cream
153,234,Nail Polish
154,236,Hand Cream
155,238,Eye Gel Patch
156,239,Body Scrub
157,245,Shampoo
158,247,Deodorant
159,248,Contour Powder
160,249,Hair Oil
162,251,Hand Mask
163,252,Trimmer
164,253,Hair Cream
165,255,Foundation
166,256,Night Cream
168,261,Eau De Parfum
169,263,Soap
170,264,Face Serum
171,265,Conditioner
172,266,Highlighter Pressed Powder
173,267,Eyebrow Pomade
174,268,Sunscreen Gel
175,269,Body Lotion
176,270,Face Moisturiser
177,271,Contour
180,274,Face Mask
181,275,Face Serum
183,277,Face Sunscreen
184,278,Hair Clay
185,279,Lip Tint
186,280,Lipstick
188,282,Body Wash
189,283,Lipstick
190,285,Face Cleanser
191,286,Face Wash
192,287,Eyeshadow Palette
193,288,Body Sunscreen
194,291,Blush
195,292,Nail Polish
196,293,Lip Mask
197,295,Body Wash
198,297,Eyeliner
200,300,Lip Gloss
201,301,Hair Oil
202,302,Body Lotion
203,304,Makeup Organiser Bag
204,305,Face Serum
205,306,Nail Polish
206,308,Nail Polish
207,310,Body Mist
208,311,Body Scrub
209,312,Makeup Palette
210,314,Foundation
211,316,Sheet Mask
212,317,Mascara
213,318,Trimmer
214,320,Trimmer
215,321,Hair Oil
216,322,Eau De Parfum
217,326,Body Mist
218,327,Body Scrub
219,328,Nail Polish
221,331,Hand + Nail Cream
222,332,Deodorant
223,333,Lipstick
224,334,Sleeping Mask
225,337,BB Cream
226,339,Eau De Parfum
228,342,Eau De Toilette
229,344,Massage Oil
230,345,Eau De Toilette
231,346,Perfume
232,347,Eau De Parfum
233,349,Eyeliner
234,350,Makeup Palette
235,351,Face Sunscreen
236,352,Body Mist
237,355,Hair Serum
238,356,Eau De Toilette
239,357,Hair Oil
240,358,Eau De Perfume
241,359,Shampoo
242,361,Hair Oil
244,365,Hair Serum
245,366,Body Lotion
246,368,Hair Oil
247,369,Face Serum
248,370,Face Sunscreen
249,371,Body Lotion
250,372,Eau De Toilette
251,374,Massage Oil
252,376,Makeup Remover
253,380,Conditioner
255,382,Eau De Toilette
256,383,Body Wash
257,384,Deodorant
258,385,Body Sunscreen
259,387,Eau De Parfum
260,388,Nail Polish
261,390,Foundation
262,392,Hair Oil
263,394,Shampoo
265,396,Body Scrub
266,398,Kajal
267,400,Eau De Toilette
268,402,Nail Polish
271,405,Face Serum
272,406,Eau De Toilette
273,408,Nail Polish
274,409,Lip Tint
275,412,Eyeshadow Palette
276,413,Conditioner
277,414,Conditioner
278,415,Face Pack
279,417,Eau De Parfum
280,418,Lipstick
281,420,Lip Oil
282,421,Eyeliner
283,422,Body Scrub
284,423,Blush
285,424,Eau De Parfum
286,425,Nail Polish
287,427,Deodorant
288,429,Body Scrub
289,430,Liquid Lipstick
290,431,Highlighter Pressed Powder
291,432,Lipstick
292,433,Cotton Puff
293,434,Highlighter Pressed Powder
294,435,Lip Stain
295,436,Hair Serum
296,437,Face Concealer
297,439,Eau De Toilette
298,440,Kajal
299,441,Hair Color
300,444,Liquid Lipstick
301,445,Blush
302,446,Face Serum
303,447,Makeup Remover Oil
304,448,Shampoo
305,450,Body Mist
306,451,Eau De Toilette
307,452,Deodorant
309,456,Hair Spray
310,457,EDP Perfume
311,458,Face Primer
312,459,Deodorant
313,461,Shower Gel
315,463,Body Lotion
316,464,Body Wash
317,465,Nail Polish
319,470,Body Lotion
320,471,Face Wash
321,472,Shower Gel
322,473,Deodorant
323,475,Body Lotion
324,478,Makeup Palette
325,479,Hair Serum
326,481,Nail Polish Remover
327,482,Face Cleanser
328,485,Hair Serum
